ID,Path,Area,Location,Rooms,Floor,Floors,Repaired,Price,Currency,address
5948111,https://bina.az/items/5948111,55.0,İnşaatçılar m.,2.0,8.0,11.0,True,165000,AZN,Dadaş Bünyadzadə küçəsi
5726517,https://bina.az/items/5726517,64.0,Nizami m.,2.0,3.0,15.0,True,267000,AZN,Salatın Əsgərova küç.
5523227,https://bina.az/items/5523227,250.0,Mərdəkan q.,5.0,,,True,820000,AZN,Mərdəkan qəs.
5611673,https://bina.az/items/5611673,220.0,7-ci mikrorayon q.,4.0,15.0,17.0,True,500000,AZN,Abay Kunanbayev küç.
5869810,https://bina.az/items/5869810,50.0,Xalqlar Dostluğu m.,2.0,4.0,5.0,True,145000,AZN,Bəhruz Nuriyev küç.
5834110,https://bina.az/items/5834110,75.0,8 Noyabr m.,2.0,4.0,14.0,True,210000,AZN,Həsən Əliyev küçəsi
5937480,https://bina.az/items/5937480,65.0,Yeni Günəşli q.,2.0,7.0,9.0,True,121000,AZN,Samir Cəfərov küçəsi
5934633,https://bina.az/items/5934633,75.0,İnşaatçılar m.,2.0,17.0,20.0,True,195000,AZN,Əsəd Əhmədov küçəsi
5783619,https://bina.az/items/5783619,72.0,Elmlər Akademiyası m.,3.0,12.0,16.0,True,209000,AZN,Müstəqillik küçəsi
5861370,https://bina.az/items/5861370,100.0,Elmlər Akademiyası m.,3.0,9.0,12.0,True,410000,AZN,Zahid Xəlilov küç
5952503,https://bina.az/items/5952503,53.8,Hövsan q.,2.0,7.0,7.0,True,103000,AZN,Hövsan qəsəbəsi
5783222,https://bina.az/items/5783222,80.0,Həzi Aslanov q.,3.0,4.0,5.0,True,163000,AZN,Gəncə Prospekti
5721474,https://bina.az/items/5721474,47.6,Masazır q.,1.0,5.0,12.0,,57120,AZN,Masazır qəsəbəsi
5444013,https://bina.az/items/5444013,79.5,,3.0,5.0,10.0,True,112000,AZN,Rövşən Əliyev küçəsi
5474820,https://bina.az/items/5474820,100.0,Sea Breeze q.,3.0,3.0,7.0,True,400000,AZN,Nardaran qəs.Sea Breeze Resort Park Residence 2
5849626,https://bina.az/items/5849626,182.0,Maştağa q.,5.0,,,True,170000,AZN,Maştağa qəsəbəsi
5952499,https://bina.az/items/5952499,100.0,Nizami m.,3.0,4.0,17.0,True,400000,AZN,Sarabski küç
5801751,https://bina.az/items/5801751,140.0,Nəriman Nərimanov m.,3.0,5.0,18.0,True,405000,AZN,F.Yusifov küçəsi
5943202,https://bina.az/items/5943202,117.0,Yeni Yasamal q.,4.0,9.0,16.0,True,245000,AZN,Yeni Yasamal qəs
5910402,https://bina.az/items/5910402,85.0,Həzi Aslanov q.,3.0,7.0,14.0,True,229000,AZN,Abbas Fətullayev küçəsi
5952496,https://bina.az/items/5952496,73.0,Yeni Günəşli q.,3.0,10.0,12.0,True,196000,AZN,Əjdər Məlikov küçəsi
5570916,https://bina.az/items/5570916,60.0,Masazır q.,2.0,4.0,6.0,True,84000,AZN,Masazır qəsəbəsi
5718191,https://bina.az/items/5718191,70.0,Sahil m.,,,,True,175000,AZN,Bülbül prospekti
5952493,https://bina.az/items/5952493,280.0,Buzovna q.,4.0,,,True,480000,AZN,Buzovna qəsəbəsi
5704248,https://bina.az/items/5704248,6.0,Qara Qarayev m.,,,,,605000,AZN,8-ci km
5826668,https://bina.az/items/5826668,280.0,Nizami m.,3.0,22.0,22.0,True,384000,AZN,Mirzə Fətəli Axundov küçəsi
5952495,https://bina.az/items/5952495,50.4,Bakıxanov q.,2.0,10.0,14.0,,114000,AZN,Sakit Qocayev küçəsi
5851921,https://bina.az/items/5851921,95.0,Nəsimi m.,3.0,8.0,9.0,True,235000,AZN,Həmzə Babaşov küçəsi
